date,portfolio_value,cash,n_positions,regime
2024-02-02,219694.73665846107,39942.53664625404,32,0
2024-02-05,219874.6400855851,39942.53664625404,32,0
2024-02-06,222152.8122505021,39942.53664625404,32,0
2024-02-07,222036.94121192786,39660.18184303139,32,0
2024-02-08,221555.20569251868,39660.18184303139,32,0
2024-02-09,222250.5473062882,39660.18184303139,32,0
2024-02-12,221132.9483988175,39660.18184303139,32,0
2024-02-13,221745.44265482947,44187.15116618202,31,0
2024-02-14,223539.58458244178,52016.4842559037,29,0
2024-02-15,224748.88096916053,52016.4842559037,29,0
2024-02-16,226198.0565062699,52016.4842559037,29,0
2024-02-19,226656.11233817908,52016.4842559037,29,0
2024-02-20,226667.1828948197,52016.4842559037,29,0
2024-02-21,225020.61048380897,45110.21265666054,31,0
2024-02-22,226877.74628703162,45110.21265666054,31,0
2024-02-23,226504.55097453162,45110.21265666054,31,0
2024-02-26,225894.8272196488,45110.21265666054,31,0
2024-02-27,226547.46384684608,45110.21265666054,31,0
2024-02-28,223470.09408439492,63552.82482780312,29,0
2024-02-29,223957.65276969766,63552.82482780312,29,0
2024-03-01,226293.32432426309,63552.82482780312,29,0
2024-03-04,227023.79191459512,63552.82482780312,29,0
2024-03-05,227000.73757804726,63552.82482780312,29,0
2024-03-06,227864.6417894425,73122.03770924233,28,0
2024-03-07,228238.5610399308,73122.03770924233,28,0
2024-03-08,228238.5610399308,73122.03770924233,28,0
2024-03-11,226977.13306141517,73122.03770924233,28,0
2024-03-12,225765.54105091712,73122.03770924233,28,0
2024-03-13,221165.79966273357,113773.17562403728,18,0
2024-03-14,222587.443873549,113773.17562403728,18,0
2024-03-15,221832.06504359294,113773.17562403728,18,0
2024-03-18,221715.99190821697,113773.17562403728,18,0
2024-03-19,219617.9049636369,113773.17562403728,18,0
2024-03-20,219340.30701847697,159530.96497746135,10,0
2024-03-21,219433.1411249223,159530.96497746135,10,0
2024-03-22,220719.33594914104,159530.96497746135,10,0
2024-03-25,220719.33594914104,159530.96497746135,10,0
2024-03-26,220498.059765059,159530.96497746135,10,0
2024-03-27,220693.79278028727,61333.78884351971,21,0
2024-03-28,222903.45980299235,61333.78884351971,21,0
2024-03-29,222903.45980299235,61333.78884351971,21,0
2024-04-01,223998.48156202555,61333.78884351971,21,0
2024-04-02,225045.21743238688,61333.78884351971,21,0
